Year,Sport,Rank,Country,Gold,Silver,Bronze,Total
1951,Athletics,1,Japan,20,17,11,48
1951,Athletics,2,India,10,12,12,34
1951,Athletics,3,Singapore,1,2,2,5
1951,Athletics,4,Iran,1,1,0,2
1951,Athletics,5,Philippines,1,0,3,4
1951,Athletics,6,Ceylon,0,1,0,1
1951,Athletics,7,Indonesia,0,0,5,5
1951,Basketball,1,Philippines,1,0,0,1
1951,Basketball,2,Japan,0,1,0,1
1951,Basketball,3,Iran,0,0,1,1
1951,Cycling,1,Japan,4,3,1,8
1951,Cycling,2,India,0,1,2,3
1951,Diving,1,India,2,1,1,4
1951,Diving,2,Iran,0,1,1,2
1951,Football,1,India,1,0,0,1
1951,Football,2,Iran,0,1,0,1
1951,Football,3,Japan,0,0,1,1
1951,Swimming,1,Singapore,4,2,0,6
1951,Swimming,2,Philippines,3,5,4,12
1951,Swimming,3,India,1,1,4,6
1951,WaterPolo,1,India,1,0,0,1
1951,WaterPolo,2,Singapore,0,1,0,1
1951,Weightlifting,1,Iran,7,3,0,10
1951,Weightlifting,2,Singapore,0,2,0,2
1951,Weightlifting,3,India,0,1,1,2
1951,Weightlifting,3,Philippines,0,1,1,2
1951,Weightlifting,5,Burma,0,0,3,3
1951,Weightlifting,6,Japan,0,0,2,2
1954,Athletics,1,Japan,17,18,8,43
1954,Athletics,2,India,5,3,6,14
1954,Athletics,3,Pakistan,4,4,0,8
1954,Athletics,4,South Korea,2,1,2,5
1954,Athletics,5,Republic of China,1,1,5,7
1954,Athletics,6,Israel,1,0,0,1
1954,Athletics,7,Singapore,0,2,1,3
1954,Athletics,8,Philippines,0,1,7,8
1954,Athletics,9,Hong Kong,0,0,1,1
1954,Basketball,1,Philippines,1,0,0,1
1954,Basketball,2,Republic of China,0,1,0,1
1954,Basketball,3,Japan,0,0,1,1
1954,Boxing,1,Philippines,5,1,0,6
1954,Boxing,2,South Korea,1,2,1,4
1954,Boxing,3,Japan,1,1,3,5
1954,Boxing,4,Ceylon,0,1,1,2
1954,Boxing,5,Republic of China,0,1,0,1
1954,Boxing,5,Singapore,0,1,0,1
1954,Boxing,7,Burma,0,0,1,1
1954,Diving,1,Japan,3,3,3,9
1954,Diving,2,Israel,1,1,0,2
1954,Diving,3,India,0,0,1,1
1954,Football,1,Republic of China,1,0,0,1
1954,Football,2,South Korea,0,1,0,1
1954,Football,3,Burma,0,0,1,1
1954,Shooting,1,Philippines,4,4,4,12
1954,Shooting,2,Japan,2,2,0,4
1954,Shooting,3,Indonesia,0,0,1,1
1954,Shooting,3,Israel,0,0,1,1
1954,Swimming,1,Japan,9,9,7,25
1954,Swimming,2,Philippines,4,3,4,11
1954,Swimming,3,Singapore,0,1,1,2
1954,Swimming,4,Republic of China,0,0,1,1
1954,WaterPolo,1,Singapore,1,0,0,1
1954,WaterPolo,2,Japan,0,1,0,1
1954,WaterPolo,3,Indonesia,0,0,1,1
1954,Weightlifting,1,South Korea,5,1,0,6
1954,Weightlifting,2,Burma,2,0,0,2
1954,Weightlifting,3,Philippines,0,3,1,4
1954,Weightlifting,4,Japan,0,1,2,3
1954,Weightlifting,5,Republic of China,0,1,1,2
1954,Weightlifting,6,Pakistan,0,1,0,1
1954,Weightlifting,7,Singapore,0,0,2,2
1954,Weightlifting,8,Indonesia,0,0,1,1
1954,Wrestling,1,Japan,6,1,0,7
1954,Wrestling,2,Pakistan,1,1,2,4
1954,Wrestling,3,Philippines,0,2,1,3
1954,Wrestling,4,South Korea,0,1,2,3
1954,Wrestling,5,India,0,1,1,2
1954,Wrestling,6,Afghanistan,0,1,0,1
1958,Athletics,1,Japan,12,15,9,36
1958,Athletics,10,Israel,0,0,2,2
1958,Athletics,11,Indonesia,0,0,1,1
1958,Athletics,11,Malaya,0,0,1,1
1958,Athletics,2,Pakistan,5,4,4,13
1958,Athletics,3,India,5,2,2,9
1958,Athletics,4,Philippines,3,4,4,11
1958,Athletics,5,Republic of China,2,3,4,9
1958,Athletics,6,South Korea,2,1,2,5
1958,Athletics,7,Iran,1,1,2,4
1958,Athletics,8,Ceylon,1,0,0,1
1958,Athletics,9,Burma,0,1,0,1
1958,Basketball,1,Philippines,1,0,0,1
1958,Basketball,2,Republic of China,0,1,0,1
1958,Basketball,3,Japan,0,0,1,1
1958,Boxing,1,Japan,6,2,2,10
1958,Boxing,10,Singapore,0,0,1,1
1958,Boxing,2,South Korea,2,0,3,5
1958,Boxing,3,Burma,1,1,1,3
1958,Boxing,4,Republic of China,1,0,0,1
1958,Boxing,5,Iran,0,3,3,6
1958,Boxing,6,Pakistan,0,2,2,4
1958,Boxing,7,Philippines,0,1,2,3
1958,Boxing,8,India,0,1,1,2
1958,Boxing,9,Thailand,0,0,2,2
1958,Cycling,1,Japan,4,1,0,5
1958,Cycling,2,South Korea,2,1,1,4
1958,Cycling,3,Pakistan,0,2,1,3
1958,Cycling,4,Iran,0,2,0,2
1958,Cycling,5,South Vietnam,0,0,2,2
1958,Cycling,6,Republic of China,0,0,1,1
1958,Diving,1,Japan,4,4,0,8
1958,Diving,2,Iran,0,0,2,2
1958,Diving,3,Republic of China,0,0,1,1
1958,Field hockey,1,Pakistan,1,0,0,1
1958,Field hockey,2,India,0,1,0,1
1958,Field hockey,3,South Korea,0,0,1,1
1958,Football,1,Republic of China,1,0,0,1
1958,Football,2,South Korea,0,1,0,1
1958,Football,3,Indonesia,0,0,1,1
1958,Shooting,1,Japan,5,0,1,6
1958,Shooting,2,Philippines,1,2,2,5
1958,Shooting,3,Republic of China,0,3,1,4
1958,Shooting,4,Thailand,0,1,1,2
1958,Shooting,5,Hong Kong,0,0,1,1
1958,Swimming,1,Japan,20,11,6,37
1958,Swimming,2,Philippines,1,7,8,16
1958,Swimming,3,Republic of China,0,3,3,6
1958,Swimming,4,Indonesia,0,0,3,3
1958,Table tennis,1,Japan,4,4,5,13
1958,Table tennis,2,South Vietnam,2,0,1,3
1958,Table tennis,3,Republic of China,1,1,3,5
1958,Table tennis,4,South Korea,0,1,2,3
1958,Table tennis,5,Hong Kong,0,1,0,1
1958,Table tennis,6,Iran,0,0,1,1
1958,Tennis,1,Japan,3,0,1,4
1958,Tennis,2,Philippines,2,5,3,10
1958,Tennis,3,Republic of China,0,0,3,3
1958,Tennis,4,Ceylon,0,0,1,1
1958,Tennis,4,Malaya,0,0,1,1
1958,Tennis,4,South Vietnam,0,0,1,1
1958,Volleyball,1,Japan,2,0,0,2
1958,Volleyball,2,Iran,0,1,0,1
1958,Volleyball,2,South Korea,0,1,0,1
1958,Volleyball,4,India,0,0,1,1
1958,Volleyball,4,Republic of China,0,0,1,1
1958,Water Polo,1,Japan,1,0,0,1
1958,Water Polo,2,Singapore,0,1,0,1
1958,Water Polo,3,Indonesia,0,0,1,1
1958,Weightlifting,1,Iran,3,4,1,8
1958,Weightlifting,2,South Korea,2,2,1,5
1958,Weightlifting,3,Japan,1,2,4,7
1958,Weightlifting,4,Republic of China,1,0,0,1
1958,Weightlifting,4,Singapore,1,0,0,1
1958,Weightlifting,6,Malaya,0,0,1,1
1958,Weightlifting,6,Philippines,0,0,1,1
1958,Wrestling,1,Japan,5,2,1,8
1958,Wrestling,2,Iran,3,3,2,8
1958,Wrestling,3,Pakistan,0,3,2,5
1958,Wrestling,4,South Korea,0,0,2,2
1958,Wrestling,5,Philippines,0,0,1,1
1962,Archery,1,Japan,2,1,1,4
1962,Archery,2,Indonesia,1,2,1,4
1962,Archery,3,Philippines,0,0,1,1
1962,Athletics,1,Japan,18,19,9,46
1962,Athletics,2,India,5,5,4,14
1962,Athletics,3,Philippines,4,1,4,9
1962,Athletics,4,Pakistan,2,3,2,7
1962,Athletics,5,Indonesia,2,0,6,8
1962,Athletics,6,Malaya,1,2,4,7
1962,Athletics,7,Burma,0,1,1,2
1962,Athletics,7,Ceylon,0,1,1,2
1962,Athletics,9,Thailand,0,1,0,1
1962,Badminton,1,Indonesia,5,3,3,11
1962,Badminton,2,Malaya,1,2,2,5
1962,Badminton,3,Thailand,0,1,1,2
1962,Basketball,1,Philippines,1,0,0,1
1962,Basketball,2,Japan,0,1,0,1
1962,Basketball,3,South Korea,0,0,1,1
1962,Boxing,1,South Korea,3,1,1,5
1962,Boxing,2,Japan,2,4,1,7
1962,Boxing,3,Pakistan,2,1,2,5
1962,Boxing,4,Thailand,1,1,1,3
1962,Boxing,5,Philippines,1,0,3,4
1962,Boxing,6,India,1,0,2,3
1962,Boxing,7,Indonesia,0,2,2,4
1962,Boxing,8,Burma,0,0,3,3
1962,Boxing,9,Cambodia,0,0,1,1
1962,Boxing,9,Ceylon,0,0,1,1
1962,Cycling,1,Indonesia,3,0,1,4
1962,Cycling,2,Thailand,1,2,1,4
1962,Cycling,3,South Korea,0,1,1,2
1962,Cycling,4,Japan,0,1,0,1
1962,Cycling,5,Malaya,0,0,1,1
1962,Diving,1,Japan,3,4,1,8
1962,Diving,2,Indonesia,1,0,2,3
1962,Diving,3,South Korea,0,0,1,1
1962,Field hockey,1,Pakistan,1,0,0,1
1962,Field hockey,2,India,0,1,0,1
1962,Field hockey,3,Malaya,0,0,1,1
1962,Football,1,India,1,0,0,1
1962,Football,2,South Korea,0,1,0,1
1962,Football,3,Malaya,0,0,1,1
1962,Shooting,1,Japan,3,1,0,4
1962,Shooting,2,South Korea,1,0,2,3
1962,Shooting,3,Singapore,1,0,0,1
1962,Shooting,4,Indonesia,0,2,1,3
1962,Shooting,5,Thailand,0,1,1,2
1962,Shooting,6,Philippines,0,1,0,1
1962,Shooting,7,India,0,0,1,1
1962,Swimming,1,Japan,19,16,3,38
1962,Swimming,2,Burma,2,0,1,3
1962,Swimming,3,Indonesia,0,3,6,9
1962,Swimming,4,Philippines,0,2,10,12
1962,Swimming,5,South Korea,0,0,1,1
1962,Table tennis,1,Japan,7,4,4,15
1962,Table tennis,2,South Korea,0,2,1,3
1962,Table tennis,3,Hong Kong,0,1,0,1
1962,Table tennis,4,Singapore,0,0,1,1
1962,Table tennis,4,South Vietnam,0,0,1,1
1962,Tennis,1,Japan,6,3,2,11
1962,Tennis,2,Philippines,1,2,6,9
1962,Tennis,3,Indonesia,0,1,3,4
1962,Tennis,4,Ceylon,0,1,1,2
1962,Tennis,5,Hong Kong,0,1,0,1
1962,Volleyball,1,Japan,4,0,0,4
1962,Volleyball,2,South Korea,0,3,0,3
1962,Volleyball,3,India,0,1,0,1
1962,Volleyball,4,Indonesia,0,0,2,2
1962,Volleyball,5,Pakistan,0,0,1,1
1962,Volleyball,5,Philippines,0,0,1,1
1962,Water Polo,1,Japan,1,0,0,1
1962,Water Polo,2,Indonesia,0,1,0,1
1962,Water Polo,3,Singapore,0,0,1,1
1962,Wrestling,1,Japan,10,3,3,16
1962,Wrestling,2,Pakistan,3,7,4,14
1962,Wrestling,3,India,3,6,3,12
1962,Wrestling,4,South Korea,0,1,2,3
1962,Wrestling,5,Indonesia,0,0,2,2
1962,Wrestling,6,Afghanistan,0,0,1,1
1966,Athletics,1,Japan,18,22,10,50
1966,Athletics,10,Singapore,0,1,2,3
1966,Athletics,11,Indonesia,0,1,0,1
1966,Athletics,12,Ceylon,0,0,2,2
1966,Athletics,2,Malaysia,5,3,4,12
1966,Athletics,3,India,5,1,5,11
1966,Athletics,4,Republic of China,2,2,2,6
1966,Athletics,5,Israel,2,0,1,3
1966,Athletics,6,Philippines,1,1,3,5
1966,Athletics,7,Pakistan,1,0,0,1
1966,Athletics,8,Iran,0,2,2,4
1966,Athletics,9,South Korea,0,1,3,4
1966,Badminton,1,Indonesia,2,2,5,9
1966,Badminton,2,Malaysia,2,2,0,4
1966,Badminton,3,Japan,2,1,4,7
1966,Badminton,4,Thailand,1,2,2,5
1966,Badminton,5,Burma,0,0,1,1
1966,Badminton,5,Republic of China,0,0,1,1
1966,Badminton,5,South Korea,0,0,1,1
1966,Basketball,1,Israel,1,0,0,1
1966,Basketball,2,Thailand,0,1,0,1
1966,Basketball,3,South Korea,0,0,1,1
1966,Boxing,1,South Korea,5,3,1,9
1966,Boxing,10,Burma,0,0,1,1
1966,Boxing,2,Thailand,3,3,1,7
1966,Boxing,3,India,1,1,0,2
1966,Boxing,4,Japan,1,0,8,9
1966,Boxing,5,Philippines,1,0,3,4
1966,Boxing,6,Pakistan,0,2,2,4
1966,Boxing,7,Indonesia,0,2,0,2
1966,Boxing,8,Iran,0,0,4,4
1966,Boxing,9,Malaysia,0,0,2,2
1966,Cycling,1,Thailand,6,4,1,11
1966,Cycling,2,Japan,4,3,1,8
1966,Cycling,3,South Korea,1,2,2,5
1966,Cycling,4,Philippines,0,1,1,2
1966,Cycling,4,Republic of China,0,1,1,2
1966,Cycling,6,Ceylon,0,0,2,2
1966,Cycling,6,Iran,0,0,2,2
1966,Cycling,8,South Vietnam,0,0,1,1
1966,Diving,1,Japan,4,4,0,8
1966,Diving,2,South Korea,0,0,2,2
1966,Diving,3,Indonesia,0,0,1,1
1966,Diving,3,Philippines,0,0,1,1
1966,Field hockey,1,India,1,0,0,1
1966,Field hockey,2,Pakistan,0,1,0,1
1966,Field hockey,3,Japan,0,0,1,1
1966,Football,1,Burma,1,0,0,1
1966,Football,2,Iran,0,1,0,1
1966,Football,3,Japan,0,0,1,1
1966,Shooting,1,Japan,7,1,1,9
1966,Shooting,2,South Korea,3,4,1,8
1966,Shooting,3,Republic of China,3,0,1,4
1966,Shooting,4,Thailand,1,3,2,6
1966,Shooting,5,Philippines,0,5,5,10
1966,Shooting,6,Israel,0,1,0,1
1966,Shooting,7,Burma,0,0,2,2
1966,Shooting,8,Hong Kong,0,0,1,1
1966,Shooting,8,Indonesia,0,0,1,1
1966,Swimming,1,Japan,23,11,3,37
1966,Swimming,2,Philippines,0,6,9,15
1966,Swimming,3,Israel,0,4,2,6
1966,Swimming,4,Singapore,0,2,5,7
1966,Swimming,5,Thailand,0,0,3,3
1966,Swimming,6,Indonesia,0,0,1,1
1966,Table tennis,1,Japan,6,3,3,12
1966,Table tennis,2,South Korea,1,3,5,9
1966,Table tennis,3,Republic of China,0,1,3,4
1966,Table tennis,4,Iran,0,0,1,1
1966,Tennis,1,Japan,4,3,0,7
1966,Tennis,2,Indonesia,3,0,3,6
1966,Tennis,3,Philippines,0,2,3,5
1966,Tennis,4,Thailand,0,1,2,3
1966,Tennis,5,South Vietnam,0,1,0,1
1966,Tennis,6,Ceylon,0,0,2,2
1966,Tennis,6,Iran,0,0,2,2
1966,Tennis,8,India,0,0,1,1
1966,Tennis,8,South Korea,0,0,1,1
1966,Volleyball,1,Japan,2,0,0,2
1966,Volleyball,2,South Korea,0,2,0,2
1966,Volleyball,3,Iran,0,0,2,2
1966,Water Polo,1,Japan,1,0,0,1
1966,Water Polo,2,Singapore,0,1,0,1
1966,Water Polo,3,Indonesia,0,0,1,1
1966,Weightlifting,1,Iran,3,0,4,7
1966,Weightlifting,2,Japan,2,4,0,6
1966,Weightlifting,3,South Korea,2,3,2,7
1966,Weightlifting,4,Thailand,1,0,0,1
1966,Weightlifting,5,Singapore,0,1,0,1
1966,Weightlifting,6,Republic of China,0,0,2,2
1966,Wrestling,1,Japan,4,1,1,6
1966,Wrestling,2,Iran,3,5,0,8
1966,Wrestling,3,Pakistan,1,1,0,2
1966,Wrestling,4,India,0,1,5,6
1966,Wrestling,5,South Korea,0,0,2,2
1970,Athletics,1,Japan,19,17,6,42
1970,Athletics,10,Philippines,0,1,3,4
1970,Athletics,11,Pakistan,0,1,2,3
1970,Athletics,11,Singapore,0,1,2,3
1970,Athletics,13,Indonesia,0,0,2,2
1970,Athletics,13,Malaysia,0,0,2,2
1970,Athletics,2,India,4,5,5,14
1970,Athletics,3,Israel,4,2,1,7
1970,Athletics,4,Thailand,2,1,1,4
1970,Athletics,5,Ceylon,2,1,0,3
1970,Athletics,6,Republic of China,1,3,5,9
1970,Athletics,7,Iran,1,2,0,3
1970,Athletics,8,South Korea,1,1,5,7
1970,Athletics,9,Burma,1,0,1,2
1970,Badminton,1,Japan,3,1,3,7
1970,Badminton,2,Malaysia,3,0,3,6
1970,Badminton,3,Indonesia,1,2,4,7
1970,Badminton,4,Thailand,0,4,3,7
1970,Badminton,5,South Korea,0,0,1,1
1970,Basketball,1,South Korea,1,0,0,1
1970,Basketball,2,Israel,0,1,0,1
1970,Basketball,3,Japan,0,0,1,1
1970,Boxing,1,South Korea,6,1,2,9
1970,Boxing,10,Iran,0,1,2,3
1970,Boxing,11,Republic of China,0,0,1,1
1970,Boxing,2,Thailand,2,0,4,6
1970,Boxing,3,Philippines,1,1,3,5
1970,Boxing,4,India,1,1,0,2
1970,Boxing,5,Indonesia,1,0,4,5
1970,Boxing,6,Japan,0,2,3,5
1970,Boxing,7,Burma,0,2,0,2
1970,Boxing,7,Khmer Republic,0,2,0,2
1970,Boxing,9,Pakistan,0,1,3,4
1970,Cycling,1,Japan,5,1,1,7
1970,Cycling,2,Thailand,3,3,1,7
1970,Cycling,3,Malaysia,2,1,2,5
1970,Cycling,4,South Korea,1,4,4,9
1970,Cycling,5,Philippines,0,1,2,3
1970,Cycling,6,Iran,0,1,1,2
1970,Diving,1,Japan,3,2,1,6
1970,Diving,2,South Korea,1,1,1,3
1970,Diving,3,Indonesia,0,1,1,2
1970,Diving,4,Thailand,0,0,1,1
1970,Field hockey,1,Pakistan,1,0,0,1
1970,Field hockey,2,India,0,1,0,1
1970,Field hockey,3,Japan,0,0,1,1
1970,Football,1,Burma,1,0,0,1
1970,Football,2,South Korea,0,1,0,1
1970,Football,3,India,0,0,1,1
1970,Sailing,1,Japan,3,0,0,3
1970,Sailing,2,Thailand,1,2,1,4
1970,Sailing,3,Burma,1,0,2,3
1970,Sailing,4,Singapore,0,2,0,2
1970,Sailing,5,Ceylon,0,1,0,1
1970,Sailing,6,India,0,0,1,1
1970,Sailing,6,Indonesia,0,0,1,1
1970,Shooting,1,Japan,8,1,3,12
1970,Shooting,2,South Korea,3,2,4,9
1970,Shooting,3,Israel,2,3,1,6
1970,Shooting,4,Thailand,1,7,2,10
1970,Shooting,5,Republic of China,0,1,0,1
1970,Shooting,6,Burma,0,0,2,2
1970,Shooting,6,South Vietnam,0,0,2,2
1970,Swimming,1,Japan,22,16,3,41
1970,Swimming,2,South Korea,2,0,0,2
1970,Swimming,3,Philippines,0,5,4,9
1970,Swimming,4,Singapore,0,3,7,10
1970,Swimming,5,Republic of China,0,0,5,5
1970,Swimming,6,Israel,0,0,3,3
1970,Swimming,7,Khmer Republic,0,0,2,2
1970,Volleyball,1,Japan,2,0,0,2
1970,Volleyball,2,South Korea,0,2,0,2
1970,Volleyball,3,Khmer Republic,0,0,1,1
1970,Volleyball,3,Republic of China,0,0,1,1
1970,Weightlifting,1,Japan,4,2,0,6
1970,Weightlifting,2,Iran,2,1,3,6
1970,Weightlifting,2,South Korea,2,1,3,6
1970,Weightlifting,4,Indonesia,0,2,0,2
1970,Weightlifting,5,Philippines,0,1,0,1
1970,Weightlifting,5,Republic of China,0,1,0,1
1970,Weightlifting,7,Burma,0,0,2,2
1970,Wrestling,1,Iran,6,2,1,9
1970,Wrestling,2,Japan,4,5,1,10
1970,Wrestling,3,India,1,1,3,5
1970,Wrestling,4,South Korea,0,1,3,4
1970,Wrestling,5,Pakistan,0,0,2,2
1974,Athletics,1,Japan,10,11,11,32
1974,Athletics,10,Iraq,1,0,1,2
1974,Athletics,10,South Korea,1,0,1,2
1974,Athletics,12,Malaysia,0,1,1,2
1974,Athletics,13,Kuwait,0,1,0,1
1974,Athletics,13,Mongolia,0,1,0,1
1974,Athletics,15,Burma,0,0,1,1
1974,Athletics,15,North Korea,0,0,1,1
1974,Athletics,2,China,5,10,6,21
1974,Athletics,3,India,4,7,4,15
1974,Athletics,4,Israel,4,1,1,6
1974,Athletics,5,Iran,3,2,3,8
1974,Athletics,6,Thailand,3,0,1,4
1974,Athletics,7,Sri Lanka,2,0,0,2
1974,Athletics,8,Singapore,1,1,2,4
1974,Athletics,9,Pakistan,1,0,2,3
1974,Badminton,1,China,5,3,2,10
1974,Badminton,2,Indonesia,2,4,2,8
1974,Badminton,3,Japan,0,0,2,2
1974,Badminton,4,India,0,0,1,1
1974,Basketball,1,Israel,1,0,0,1
1974,Basketball,1,Japan,1,0,0,1
1974,Basketball,3,South Korea,0,2,0,2
1974,Basketball,4,China,0,0,2,2
1974,Boxing,1,South Korea,5,2,0,7
1974,Boxing,2,Iran,3,2,5,10
1974,Boxing,3,North Korea,2,2,1,5
1974,Boxing,4,Japan,1,1,3,5
1974,Boxing,5,India,0,3,2,5
1974,Boxing,6,Mongolia,0,1,1,2
1974,Boxing,7,Pakistan,0,0,4,4
1974,Boxing,8,Philippines,0,0,2,2
1974,Boxing,9,Indonesia,0,0,1,1
1974,Boxing,9,Thailand,0,0,1,1
1974,Cycling,1,Japan,4,2,0,6
1974,Cycling,2,Iran,2,2,2,6
1974,Cycling,3,South Korea,0,2,2,4
1974,Cycling,4,China,0,0,1,1
1974,Cycling,4,Mongolia,0,0,1,1
1974,Diving,1,China,4,2,2,8
1974,Diving,2,Japan,0,1,2,3
1974,Diving,3,South Korea,0,1,0,1
1974,Fencing,1,Japan,5,3,2,10
1974,Fencing,2,Iran,3,4,3,10
1974,Fencing,3,South Korea,0,1,0,1
1974,Fencing,4,China,0,0,2,2
1974,Fencing,5,Israel,0,0,1,1
1974,Field hockey,1,Pakistan,1,0,0,1
1974,Field hockey,2,India,0,1,0,1
1974,Field hockey,3,Malaysia,0,0,1,1
1974,Football,1,Iran,1,0,0,1
1974,Football,2,Israel,0,1,0,1
1974,Football,3,Malaysia,0,0,1,1
1974,Gymnastics,1,China,8,8,2,18
1974,Gymnastics,2,Japan,4,3,2,9
1974,Gymnastics,3,South Korea,2,0,2,4
1974,Gymnastics,4,North Korea,1,3,7,11
1974,Shooting,1,North Korea,10,4,0,14
1974,Shooting,2,Japan,6,5,4,15
1974,Shooting,3,China,4,6,3,13
1974,Shooting,4,South Korea,1,4,5,10
1974,Shooting,5,Thailand,1,2,6,9
1974,Shooting,6,India,0,1,1,2
1974,Shooting,7,Malaysia,0,0,1,1
1974,Shooting,7,Mongolia,0,0,1,1
1974,Shooting,7,Philippines,0,0,1,1
1974,Swimming,1,Japan,22,12,8,42
1974,Swimming,2,South Korea,2,1,0,3
1974,Swimming,3,Israel,1,0,1,2
1974,Swimming,4,China,0,8,2,10
1974,Swimming,5,Philippines,0,2,9,11
1974,Swimming,6,Singapore,0,2,5,7
1974,Table tennis,1,China,6,1,2,9
1974,Table tennis,2,Japan,1,3,2,6
1974,Table tennis,3,South Korea,0,3,0,3
1974,Table tennis,4,North Korea,0,0,3,3
1974,Tennis,1,Japan,4,0,4,8
1974,Tennis,2,Israel,1,1,1,3
1974,Tennis,3,South Korea,1,1,0,2
1974,Tennis,4,Indonesia,1,0,1,2
1974,Tennis,5,China,0,3,0,3
1974,Tennis,6,Iran,0,2,0,2
1974,Tennis,7,Pakistan,0,0,1,1
1974,Volleyball,1,Japan,2,0,0,2
1974,Volleyball,2,South Korea,0,2,0,2
1974,Volleyball,3,China,0,0,2,2
1974,Water Polo,1,Iran,1,0,0,1
1974,Water Polo,2,China,0,1,0,1
1974,Water Polo,3,Japan,0,0,1,1
1974,Weightlifting,1,Iran,10,11,3,24
1974,Weightlifting,2,Japan,10,1,6,17
1974,Weightlifting,3,South Korea,3,3,2,8
1974,Weightlifting,4,North Korea,2,5,4,11
1974,Weightlifting,5,China,1,4,1,6
1974,Weightlifting,6,Burma,1,2,2,5
1974,Weightlifting,7,Israel,0,1,4,5
1974,Weightlifting,8,Iraq,0,0,4,4
1974,Weightlifting,9,Pakistan,0,0,1,1
1974,Wrestling,1,Iran,13,5,1,19
1974,Wrestling,2,Japan,5,7,4,16
1974,Wrestling,3,Mongolia,2,3,5,10
1974,Wrestling,4,South Korea,1,4,3,8
1974,Wrestling,5,India,0,0,4,4
1974,Wrestling,6,Afghanistan,0,0,1,1
1974,Wrestling,6,North Korea,0,0,1,1
1974,Wrestling,6,Pakistan,0,0,1,1
1978,Archery,1,Japan,3,2,1,6
1978,Archery,2,South Korea,1,1,0,2
1978,Archery,3,China,0,1,0,1
1978,Archery,4,North Korea,0,0,2,2
1978,Archery,5,Indonesia,0,0,1,1
1978,Athletics,1,China,12,9,13,34
1978,Athletics,10,Pakistan,0,1,0,1
1978,Athletics,11,Kuwait,0,0,1,1
1978,Athletics,11,Philippines,0,0,1,1
1978,Athletics,2,Japan,10,15,10,35
1978,Athletics,3,India,8,7,3,18
1978,Athletics,4,Thailand,4,1,2,7
1978,Athletics,5,North Korea,2,2,4,8
1978,Athletics,6,Iraq,2,1,2,5
1978,Athletics,7,Malaysia,1,1,1,3
1978,Athletics,8,Burma,0,1,1,2
1978,Athletics,8,South Korea,0,1,1,2
1978,Badminton,1,Indonesia,4,2,3,9
1978,Badminton,2,China,3,5,3,11
1978,Badminton,3,Thailand,0,0,4,4
1978,Badminton,4,Japan,0,0,2,2
1978,Badminton,5,Hong Kong,0,0,1,1
1978,Badminton,5,Pakistan,0,0,1,1
1978,Basketball,1,China,1,1,0,2
1978,Basketball,1,South Korea,1,1,0,2
1978,Basketball,3,Japan,0,0,1,1
1978,Basketball,3,North Korea,0,0,1,1
1978,Bowling,1,Philippines,3,3,2,8
1978,Bowling,2,Thailand,3,2,3,8
1978,Bowling,3,Japan,2,3,0,5
1978,Bowling,4,South Korea,1,1,2,4
1978,Bowling,5,Malaysia,1,0,0,1
1978,Bowling,6,Hong Kong,0,1,2,3
1978,Bowling,7,Singapore,0,0,1,1
1978,Boxing,1,South Korea,5,1,3,9
1978,Boxing,10,Mongolia,0,0,3,3
1978,Boxing,11,Sri Lanka,0,0,2,2
1978,Boxing,12,Iraq,0,0,1,1
1978,Boxing,12,Malaysia,0,0,1,1
1978,Boxing,2,Pakistan,2,1,3,6
1978,Boxing,3,Thailand,1,3,2,6
1978,Boxing,4,North Korea,1,2,0,3
1978,Boxing,5,Indonesia,1,1,2,4
1978,Boxing,6,Japan,1,0,2,3
1978,Boxing,7,India,0,1,2,3
1978,Boxing,8,Burma,0,1,1,2
1978,Boxing,9,Philippines,0,1,0,1
1978,Cycling,1,Japan,4,2,1,7
1978,Cycling,2,South Korea,2,2,1,5
1978,Cycling,3,China,0,1,4,5
1978,Cycling,4,Iraq,0,1,0,1
1978,Diving,1,China,4,4,0,8
1978,Diving,2,Japan,0,0,4,4
1978,Fencing,1,China,4,4,0,8
1978,Fencing,2,Japan,3,3,4,10
1978,Fencing,3,South Korea,1,1,3,5
1978,Fencing,4,Indonesia,0,0,1,1
1978,Field hockey,1,Pakistan,1,0,0,1
1978,Field hockey,2,India,0,1,0,1
1978,Field hockey,3,Malaysia,0,0,1,1
1978,Football,1,South Korea,1,0,0,2
1978,Football,1,North Korea,1,0,0,0
1978,Football,3,China,0,0,1,1
1978,Gymnastics,1,China,10,8,5,23
1978,Gymnastics,2,Japan,3,4,3,10
1978,Gymnastics,3,North Korea,2,1,2,5
1978,Gymnastics,4,South Korea,0,2,2,4
1978,Sailing,1,Japan,2,0,1,3
1978,Sailing,2,Thailand,1,2,1,4
1978,Sailing,3,Pakistan,1,0,0,1
1978,Sailing,4,Burma,0,1,0,1
1978,Sailing,4,India,0,1,0,1
1978,Sailing,6,Singapore,0,0,2,2
1978,Shooting,1,China,8,4,7,19
1978,Shooting,2,North Korea,6,5,1,12
1978,Shooting,3,Japan,6,3,4,13
1978,Shooting,4,South Korea,1,6,8,15
1978,Shooting,5,India,1,0,0,1
1978,Shooting,6,Thailand,0,4,2,6
1978,Swimming,1,Japan,25,17,5,47
1978,Swimming,2,Singapore,2,1,0,3
1978,Swimming,3,Philippines,1,0,3,4
1978,Swimming,3,Thailand,1,0,3,4
1978,Swimming,5,China,0,8,6,14
